Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",1210,2,10u,
C10,1210,1,3u3,
"C11, C12",1210,2,100u,
"C13, C14, C15, C16, C2, C20, C3, C4, C5",1210,9,100n,
"C17, C18",1206,2,1u,
C19,1210,1,20p,
C21,1206,1,470n,
C22,1206,1,220n,
C23,1206,1,100p,
C24,C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,22n,
C7,1206,1,10u,
"C8, C9",1206,2,100n,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"D3, D4, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4448,
D7,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,1,Power ON,
"H1, H2, H3, H4",MountingHole_2.5mm,4,MountingHole,
J1,TE_350180,1,VAC,
J2,TE_350180,1,COMM,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Male,
J6,FPC_24,1,FPC Connector,
"Q1, Q2",TO-220-3_Vertical,2,IRF4905,
"R1, R3",1206,2,47K,
R10,1206,1,9K,
R11,1206,1,1K,
R12,1206,1,11K,
R13,1206,1,1K5,
R2,1206,1,330,
R4,1812,1,1M,
R5,1206,1,100K,
R6,1206,1,24K,
R9,1206,1,90K,
RV1,Potentiometer_Bourns_3266W_Vertical,1,Naponska referenca (100mV),
SW1,SW_EG2310,1,Range selection,
SW2,SW_CuK_JS202011AQN_DPDT_Angled,1,Power ON/OFF,
TH1,R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical,1,PTC,
U1,DIP-40_W15.24mm,1,ICL7107CPL,
U2,DIP-8_W10.16mm,1,AD737,
U3,TO-220-3_Vertical,1,L7805,
U4,TO-220-3_Vertical,1,L7905,
