Designator,Mid X,Mid Y,Rotation,Layer
C1,32.936,-120.517,180.0,top
C10,75.946,-102.616,180.0,top
C11,62.279,-78.811,0.0,top
C12,45.974,-75.184,270.0,top
C13,62.279,-82.296,0.0,top
C14,42.672,-75.184,90.0,top
C15,72.185,-81.788,180.0,top
C16,45.466,-79.756,180.0,top
C17,67.359,-82.367,180.0,top
C18,45.466,-82.804,0.0,top
C19,54.78,-149.727,90.0,top
C2,32.936,-127.375,180.0,top
C20,54.78,-144.647,270.0,top
C21,55.288,-154.299,180.0,top
C22,55.288,-160.141,0.0,top
C23,56.812,-130.169,270.0,top
C24,89.1,-156.275,90.0,top
C3,32.936,-124.073,180.0,top
C4,55.288,-163.443,180.0,top
C5,55.288,-166.999,180.0,top
C6,60.114,-163.443,180.0,top
C7,88.138,-91.948,0.0,top
C8,71.882,-98.044,90.0,top
C9,88.138,-94.488,0.0,top
D1,87.122,-102.616,180.0,top
D2,69.088,-96.012,270.0,top
D3,60.755,-85.344,0.0,top
D4,54.681,-80.518,90.0,top
D5,73.709,-78.811,180.0,top
D6,44.013,-85.852,0.0,top
D7,100.33,-87.376,90.0,top
J1,95.8315,-137.16,0.0,top
J2,95.8315,-117.602,0.0,top
J3,32.275,-76.748,270.0,top
J6,44.212,-182.088,0.0,top
Q1,54.356,-65.969,0.0,top
Q2,42.672,-65.969,0.0,top
R1,69.088,-92.456,90.0,top
R10,68.555,-181.0125,90.0,top
R11,71.845,-181.0125,90.0,top
R12,75.135,-181.0125,90.0,top
R13,78.425,-181.0125,90.0,top
R2,76.454,-75.184,0.0,top
R3,55.288,-157.347,0.0,top
R4,62.4,-129.915,90.0,top
R5,54.272,-130.169,90.0,top
R6,60.114,-144.393,90.0,top
R9,65.265,-181.0125,90.0,top
RV1,55.049,-140.284,180.0,top
SW1,101.35,-171.1,90.0,top
SW2,100.599,-77.8455,90.0,top
TH1,98.8,-148.615,270.0,top
U1,36.487,-127.888,0.0,top
U2,74.422,-91.694,0.0,top
U3,60.755,-74.93,0.0,top
U4,49.601,-74.168,270.0,top
